pais,tramo,unidad,vac_legales,feriados,jornada_h_sem,tope_diario_legal,dias_lab_semana,horas_dia,d_trabajo,d_descanso_semanal,d_vacaciones,d_feriados,d_solape_fer_vac,dias_libres_total,pct_trabajo,pct_desc_sem,pct_vacaciones,pct_feriados,pct_descanso_total,horas_trabajadas_anio,pct_vigilia_trabajando,dias_trabajo_por_semana,traslado_min_dia,traslado_anio_ref,traslado_fuente,horas_traslado_anio,horas_comprometidas_anio,pct_vigilia_comprometida,horas_sueno_anio,horas_libres_anio,pct_libre_vigilia,pct_comprometido_total,pct_libre_total
Argentina,20 años,corridos,35,16,48,9.0,5.5,8.73,247.9,78.2,27.5,11.4,1.2,117.1,67.9,21.4,7.5,3.1,32.1,2164,37.0,4.75,77,2021,OIT IT-56 · EUT,318,2482,42.5,2920,3358,57.5,28.3,38.3
Uruguay,1 año,hábiles,20,15,48,8.0,6.0,8.0,280.0,52.1,20.0,12.9,0.0,85.0,76.7,14.3,5.5,3.5,23.3,2240,38.4,5.37,56,2022,OIT IT-56 · EUT,261,2501,42.8,2920,3339,57.2,28.6,38.1
Uruguay,5 años,hábiles,21,15,48,8.0,6.0,8.0,279.0,52.1,21.0,12.9,0.0,86.0,76.4,14.3,5.8,3.5,23.6,2232,38.2,5.35,56,2022,OIT IT-56 · EUT,260,2492,42.7,2920,3348,57.3,28.5,38.2
Uruguay,10 años,hábiles,22,15,48,8.0,6.0,8.0,278.0,52.1,22.0,12.9,0.0,87.0,76.2,14.3,6.0,3.5,23.8,2224,38.1,5.33,56,2022,OIT IT-56 · EUT,259,2483,42.5,2920,3357,57.5,28.4,38.3
Uruguay,20 años,hábiles,25,15,48,8.0,6.0,8.0,275.0,52.1,25.0,12.9,0.0,90.0,75.3,14.3,6.8,3.5,24.7,2200,37.7,5.27,56,2022,OIT IT-56 · EUT,257,2457,42.1,2920,3383,57.9,28.0,38.6
Ecuador,1 año,calendario,15,12,40,8.0,5.0,8.0,241.8,104.3,10.7,8.2,0.4,123.2,66.2,28.6,2.9,2.3,33.8,1934,33.1,4.64,,,,,,,,,,,
Ecuador,5 años,calendario,15,12,40,8.0,5.0,8.0,241.8,104.3,10.7,8.2,0.4,123.2,66.2,28.6,2.9,2.3,33.8,1934,33.1,4.64,,,,,,,,,,,
Ecuador,10 años,calendario,20,12,40,8.0,5.0,8.0,238.3,104.3,14.3,8.1,0.5,126.7,65.3,28.6,3.9,2.2,34.7,1907,32.6,4.57,,,,,,,,,,,
Ecuador,20 años,calendario,30,12,40,8.0,5.0,8.0,231.4,104.3,21.4,7.9,0.7,133.6,63.4,28.6,5.9,2.2,36.6,1851,31.7,4.44,,,,,,,,,,,
Paraguay,1 año,hábiles,12,12,48,8.0,6.0,8.0,290.6,52.1,12.0,10.3,0.0,74.4,79.6,14.3,3.3,2.8,20.4,2325,39.8,5.57,36,2016,OIT IT-56 · EUT,174,2499,42.8,2920,3341,57.2,28.5,38.1
Paraguay,5 años,hábiles,18,12,48,8.0,6.0,8.0,284.6,52.1,18.0,10.3,0.0,80.4,78.0,14.3,4.9,2.8,22.0,2277,39.0,5.46,36,2016,OIT IT-56 · EUT,171,2447,41.9,2920,3393,58.1,27.9,38.7
Paraguay,10 años,hábiles,30,12,48,8.0,6.0,8.0,272.6,52.1,30.0,10.3,0.0,92.4,74.7,14.3,8.2,2.8,25.3,2181,37.3,5.23,36,2016,OIT IT-56 · EUT,164,2344,40.1,2920,3496,59.9,26.8,39.9
Paraguay,20 años,hábiles,30,12,48,8.0,6.0,8.0,272.6,52.1,30.0,10.3,0.0,92.4,74.7,14.3,8.2,2.8,25.3,2181,37.3,5.23,36,2016,OIT IT-56 · EUT,164,2344,40.1,2920,3496,59.9,26.8,39.9
Honduras,1 año,hábiles,10,11,44,8.0,5.5,8.0,268.1,78.2,10.0,8.6,0.0,96.9,73.5,21.4,2.7,2.4,26.5,2145,36.7,5.14,,,,,,,,,,,
Honduras,5 años,hábiles,20,11,44,8.0,5.5,8.0,258.1,78.2,20.0,8.6,0.0,106.9,70.7,21.4,5.5,2.4,29.3,2065,35.4,4.95,,,,,,,,,,,
Honduras,10 años,hábiles,20,11,44,8.0,5.5,8.0,258.1,78.2,20.0,8.6,0.0,106.9,70.7,21.4,5.5,2.4,29.3,2065,35.4,4.95,,,,,,,,,,,
Honduras,20 años,hábiles,20,11,44,8.0,5.5,8.0,258.1,78.2,20.0,8.6,0.0,106.9,70.7,21.4,5.5,2.4,29.3,2065,35.4,4.95,,,,,,,,,,,
México,1 año,hábiles,12,7,48,8.0,6.0,8.0,294.9,52.1,12.0,6.0,0.0,70.1,80.8,14.3,3.3,1.6,19.2,2359,40.4,5.65,69,2019,OIT IT-56 · EUT,339,2698,46.2,2920,3142,53.8,30.8,35.9
México,5 años,hábiles,20,7,48,8.0,6.0,8.0,286.9,52.1,20.0,6.0,0.0,78.1,78.6,14.3,5.5,1.6,21.4,2295,39.3,5.5,69,2019,OIT IT-56 · EUT,330,2625,44.9,2920,3215,55.1,30.0,36.7
México,10 años,hábiles,22,7,48,8.0,6.0,8.0,284.9,52.1,22.0,6.0,0.0,80.1,78.0,14.3,6.0,1.6,22.0,2279,39.0,5.46,69,2019,OIT IT-56 · EUT,328,2606,44.6,2920,3234,55.4,29.8,36.9
México,20 años,hábiles,26,7,48,8.0,6.0,8.0,280.9,52.1,26.0,6.0,0.0,84.1,76.9,14.3,7.1,1.6,23.1,2247,38.5,5.39,69,2019,OIT IT-56 · EUT,323,2570,44.0,2920,3270,56.0,29.3,37.3
